indicador;municipio;ano;resultado
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
1.1.1.1;;2005;0
1.1.1.1;;2009;0
